,Title,Genre,G_news,Vader,Polar,Subject,IMDB
0,Dulha Mil Gaya,3,0.6,0.44,-0.08,0.23,4.4
1,Pyaar Impossible!,3,0.45,-0.03,-0.5,0.84,4.7
2,Chance Pe Dance,3,0.65,0.14,0.04,0.2,4.7
3,Hello! Hum Lallan Bol Rahe Hain,3,0.55,0.0,0.0,0.0,6.3
4,The Waiting Room,11,0.4,-0.01,0.02,0.33,6.5
5,Veer,2,0.5,0.05,0.07,0.33,8.3
6,Ishqiya,3,0.6,0.43,0.53,0.76,7.3
7,Rann,4,0.5,0.1,0.11,0.36,7.0
8,Road to Sangam,4,0.5,-0.02,-0.02,0.09,7.6
9,The Hangman,10,0.4,0.07,0.06,0.33,6.7
10,Striker,6,0.65,0.21,0.16,0.34,8.2
11,My Name Is Khan,4,0.5,0.14,0.11,0.18,8.0
12,Sukhmani,4,0.55,0.22,0.11,0.35,5.7
13,Aakhari Decision,2,0.6,-0.3,0.0,0.0,6.0
14,Click,3,0.55,0.27,0.14,0.3,6.4
15,Toh Baat Pakki!,3,0.65,-0.19,0.19,0.44,5.3
16,Karthik Calling Karthik,4,0.5,0.06,0.02,0.34,7.0
17,Teen Patti,6,0.55,0.34,0.04,0.18,4.1
18,Atithi Tum Kab Jaoge?,3,0.55,0.0,0.0,0.0,6.4
19,Hello Zindagi,4,0.65,0.33,0.24,0.32,6.6
20,"Road, Movie",1,0.55,0.06,0.15,0.35,6.9
21,Rokkk,4,0.55,0.01,-0.02,0.48,4.5
22,Thanks Maa,6,0.6,0.53,0.24,0.36,7.9
23,Do Dilon Ke Khel Mein,3,0.55,0.0,0.0,0.0,5.8
24,Na Ghar Ke Na Ghaat Ke,3,0.5,-0.32,0.6,1.0,6.3
25,Right Yaaa Wrong,6,0.4,0.14,0.05,0.34,6.4
26,Trump Card,2,0.55,0.08,-0.03,0.35,2.7
27,Idiot Box,3,0.4,-0.29,-0.28,0.56,6.5
28,Lahore,2,0.4,0.07,0.11,0.43,6.4
29,Love Sex aur Dhokha,3,0.6,0.88,0.5,0.6,7.1
30,Shaapit,1,0.5,0.0,0.0,0.0,5.6
31,Hum Tum Aur Ghost,3,0.5,0.0,0.0,0.0,4.8
32,It's a Man's World,3,0.45,0.0,0.02,0.47,8.1
33,Mittal v/s Mittal,4,0.5,0.35,-0.07,0.39,4.8
34,My Friend Ganesha 3,8,0.7,0.0,0.0,0.0,4.4
35,Prem Kaa Game,3,0.6,0.0,0.0,0.0,3.7
36,Well Done Abba,3,0.55,0.47,0.13,0.23,7.3
37,Pankh,4,0.55,0.36,0.22,0.46,4.3
38,Tum Milo Toh Sahi,3,0.5,-0.51,0.2,0.2,5.7
39,Jaane Kahan Se Aayi Hai,3,0.55,0.0,0.0,0.0,4.1
40,The Japanese Wife,4,0.5,0.1,0.05,0.26,7.6
41,Paathshaala,4,0.55,0.48,0.57,0.73,5.0
42,Phoonk 2,4,0.5,0.15,0.04,0.33,3.3
43,Apartment,4,0.35,0.05,0.03,0.37,8.3
44,Bird Idol,8,0.55,0.14,-0.01,0.38,6.2
45,City of Gold,2,0.5,0.17,0.14,0.29,8.6
46,Kuchh Kariye,1,0.45,0.2,0.33,0.34,5.0
47,Muskurake Dekh Zara,3,0.5,0.0,0.0,0.0,4.3
48,Chase,5,0.5,0.13,0.1,0.36,7.0
49,Housefull,3,0.6,0.11,0.11,0.28,5.5
50,Badmaash Company,3,0.55,0.19,0.03,0.2,6.0
51,It's a Wonderful Afterlife,3,0.45,0.72,1.0,1.0,5.4
52,Admissions Open,3,0.65,0.26,0.13,0.42,3.0
53,Bumm Bumm Bole,4,0.55,0.0,0.0,0.0,6.1
54,Kushti,3,0.55,0.05,-0.01,0.12,4.3
55,Kites,2,0.7,0.11,0.16,0.31,4.4
56,Raajneeti,6,0.5,-0.05,0.07,0.32,7.2
57,Ek Second... Jo Zindagi Badal De?,4,0.5,0.0,0.0,0.0,3.5
58,Raavan,2,0.5,0.13,0.12,0.32,5.4
59,Krantiveer - The Revolution,2,0.5,0.0,0.0,0.0,5.1
60,Mr. Singh / Mrs. Mehta,4,0.5,0.0,0.0,0.0,4.5
61,I Hate Luv Storys,3,0.4,-0.48,-0.44,0.86,5.7
62,Milenge Milenge,4,0.55,0.12,0.08,0.33,4.1
63,Red Alert: The War Within,2,0.45,-0.36,0.2,0.3,6.5
64,Lamhaa,2,0.55,0.28,0.14,0.17,5.1
65,Tere Bin Laden,3,0.6,0.3,0.01,0.11,7.2
66,Udaan,4,0.45,0.14,0.12,0.35,8.2
67,Khatta Meetha,3,0.65,0.14,0.11,0.28,5.8
68,Once Upon a Time in Mumbaai,2,0.55,0.32,0.12,0.22,7.4
69,Aisha,3,0.55,0.14,0.14,0.27,5.0
70,Help,7,0.65,0.26,0.05,0.33,8.1
71,Peepli Live,9,0.55,0.07,0.09,0.47,7.4
72,Lafangey Parindey,2,0.55,0.18,0.05,0.05,5.3
73,Mr. Bhatti on Chutti,3,0.35,0.0,0.0,0.0,4.0
74,Antardwand,4,0.5,0.0,0.0,0.0,7.4
75,Life Express,4,0.5,0.13,0.11,0.42,4.9
76,Aashayein,4,0.55,0.34,0.34,0.58,7.2
77,Soch Lo,2,0.5,0.05,0.04,0.14,6.6
78,We Are Family,3,0.55,0.23,0.15,0.43,5.6
79,Mallika,7,0.5,0.14,0.1,0.3,4.4
80,The Film Emotional Atyachar,3,0.5,0.0,0.0,0.0,6.1
81,Dabangg,2,0.6,0.12,0.11,0.3,6.3
82,Robot,2,0.4,0.07,0.05,0.25,8.5
83,Anjaana Anjaani,3,0.65,0.29,0.1,0.35,5.8
84,Khichdi: The Movie,3,0.5,0.61,0.25,0.3,7.2
85,Crook,2,0.5,-0.07,-0.01,0.33,8.4
86,Do Dooni Chaar,3,0.6,0.47,0.32,0.45,7.6
87,Aakrosh,2,0.45,0.1,0.06,0.39,7.0
88,Knock Out,3,0.6,-0.03,0.01,0.3,5.0
89,Kajraare,6,0.5,0.0,0.0,0.1,3.0
90,Ramayana: The Epic,8,0.55,0.24,0.21,0.44,6.0
91,Hisss,3,0.65,0.03,0.03,0.22,3.0
92,Jhootha Hi Sahi,3,0.55,0.3,0.31,0.5,6.2
93,Rakta Charitra - I,2,0.55,0.0,0.0,0.0,6.4
94,Dunno Y... Na Jaane Kyon,4,0.45,0.46,0.15,0.55,3.8
95,Maalik Ek,6,0.5,-0.29,0.09,0.17,8.4
96,Nakshatra,6,0.55,0.07,0.09,0.24,5.6
97,Golmaal 3,2,0.55,0.1,-0.05,0.35,5.4
98,Action Replayy,3,0.5,0.41,0.21,0.28,4.2
99,A Flat,4,0.4,0.02,0.02,0.29,5.2
100,Ramaa: The Saviour,2,0.5,0.0,0.0,0.0,4.1
101,Guzaarish,4,0.7,0.22,0.14,0.37,7.5
102,"Shahrukh Bola ""Khoobsurat Hai Tu""",3,0.5,0.0,0.0,0.0,6.2
103,Allah Ke Banday,2,0.55,0.9,0.8,0.88,6.3
104,Bhindi Baazaar Inc.,6,0.35,0.0,0.0,0.0,6.2
105,Break Ke Baad,3,0.55,0.04,0.05,0.28,5.2
106,Khuda Kasam,2,0.5,0.18,0.24,0.56,4.1
